country,founded,id,industry,linkedin_url,locality,name,region,size,website
sri lanka,2022,chess-for-junior,higher education,linkedin.com/company/chess-for-junior,kandy,chess for junior,central,10-Jan,chessforjunior.com
sri lanka,2022,btr-tech,,linkedin.com/company/btr-tech,,btr technologies,,Nov-50,medium.com/btr-engineering
sri lanka,2022,dublys,,linkedin.com/company/dublys,colombo,dublys,western,10-Jan,
sri lanka,2022,kavixdesigns,,linkedin.com/company/kavixdesigns,galle,kavix designs,southern,10-Jan,
sri lanka,2022,lankatours,,linkedin.com/company/lankatours,anuradhapura,lanka tours (pvt) ltd,north central,51-200,lankatours.lk
sri lanka,2022,hashxctf,computer & network security,linkedin.com/company/hashxctf,colombo,hashx,western,10-Jan,
sri lanka,2022,kloudworks-private-limited,,linkedin.com/company/kloudworks-private-limited,colombo,kloudworks private limited,western,Nov-50,
sri lanka,2022,teaser-beverages,,linkedin.com/company/teaser-beverages,nugegoda,teaser beverages,western,10-Jan,teaserbeverages.com
sri lanka,2022,join-lk,staffing and recruiting,linkedin.com/company/join-lk,maharagama,join.lk,western,10-Jan,
sri lanka,2022,sponandco,retail,linkedin.com/company/sponandco,,dsg stationers,western,10-Jan,facebook.com/dsgstationers
sri lanka,2022,insightlegalsl,law practice,linkedin.com/company/insightlegalsl,colombo,insight legal,western,10-Jan,insightlegal.lk
sri lanka,2022,ak-global-group-of-companies-pvt-ltd,,linkedin.com/company/ak-global-group-of-companies-pvt-ltd,colombo,ak global group of companies (pvt) ltd,western,10-Jan,
